kode_pum,kode_bps,nama
11.02.02.2002,1104020027,Darul Aman
11.02.02.2024,1104020035,Lawe Loning Sepakat
11.02.02.2026,1104020036,Gaya Jaya
11.02.02.2025,1104020037,Lawe Loning I
11.02.02.2019,1104020038,Lawe Rakat
11.02.02.2015,1104020039,Suka Maju
11.02.02.2020,1104020040,Suka Jaya
11.02.02.2018,1104020041,Lawe Serke
11.02.02.2017,1104020042,Lawe Tua Persatuan
11.02.02.2016,1104020043,Lawe Tua Makmur
11.02.02.2023,1104020044,Bukit Sepakat
11.02.02.2021,1104020045,Enmiya Batu Dua Ratus
11.02.02.2022,1104020046,Sebungke
11.02.02.2029,1104020047,Lawe Loning Hakhapen
11.02.02.2035,1104020048,Ndauh Nitenggo
11.02.02.2034,1104020049,Kertimbang
11.02.02.2032,1104020050,Lawe Sigala Barat Jaya
11.02.02.2033,1104020051,Lawe Pekhidinen
11.02.02.2027,1104020052,Gelah Musara
11.02.02.2028,1104020053,Mulie Dame
11.02.02.2030,1104020054,Karya Indah
11.02.02.2031,1104020055,Kayu Mbelin
11.02.06.2010,1104021002,Muara Situlen
11.02.06.2013,1104021003,Pardamean
11.02.06.2011,1104021004,Sejahtera
11.02.06.2008,1104021005,Kute Bakti
11.02.06.2006,1104021006,Lawe Perbunga
11.02.06.2005,1104021007,Cinta Damai
11.02.06.2001,1104021008,Pardomuan Ii
