kode_pum,kode_bps,nama,file_logo
73.73,7373,Palopo,kab-h250px-7373.jpg
74.01,7404,Kolaka,kab-h250px-7401.jpg
74.02,7403,Konawe,kab-h250px-7402.jpg
74.03,7402,Muna,kab-h250px-7403.jpg
74.04,7401,Buton,kab-h250px-7404.jpg
74.05,7405,Konawe Selatan,kab-h250px-7405.jpg
74.06,7406,Bombana,kab-h250px-7406.jpg
74.07,7407,Wakatobi,kab-h250px-7407.jpg
74.08,7408,Kolaka Utara,kab-h250px-7408.jpg
74.09,7410,Konawe Utara,kab-h250px-7409.jpg
74.10,7409,Buton Utara,kab-h250px-7410.jpg
74.11,7411,Kolaka Timur,kab-h250px-7411.jpg
74.12,7412,Konawe Kepulauan,kab-h250px-7412.jpg
74.13,7413,Muna Barat,kab-h250px-7413.jpg
74.14,7414,Buton Tengah,kab-h250px-7414.jpg
74.15,7415,Buton Selatan,kab-h250px-7415.jpg
74.71,7471,Kendari,kab-h250px-7471.jpg
74.72,7472,Baubau,kab-h250px-7472.jpg
75.01,7502,Gorontalo,kab-h250px-7501.jpg
75.02,7501,Boalemo,kab-h250px-7502.jpg
75.03,7504,Bone Bolango,kab-h250px-7503.jpg
